algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,scale
Belief Propagation,100300,48750,True,1.00,9,651.09,810.88,0.30
Belief Propagation,100300,46875,True,1.00,9,626.27,779.69,0.30
Belief Propagation,100300,45938,True,1.00,9,619.34,764.10,0.30
Belief Propagation,100300,45469,True,1.00,9,613.08,756.30,0.30
Belief Propagation,100300,45235,False,0.97,5,344.75,752.41,0.30
Belief Propagation,100301,30000,False,0.84,9,405.87,497.00,0.30
Belief Propagation,100301,45000,True,1.00,9,599.80,745.50,0.30
Belief Propagation,100301,37500,False,0.92,6,340.27,621.25,0.30
Belief Propagation,100301,41250,False,0.94,6,372.84,683.38,0.30
Belief Propagation,100301,43125,False,0.97,10,638.98,714.44,0.30
Belief Propagation,100301,44063,False,0.98,8,524.49,729.98,0.30
Belief Propagation,100301,44532,False,1.00,12,786.01,737.75,0.30
Belief Propagation,100302,30000,False,0.85,9,404.57,506.00,0.30
Belief Propagation,100302,45000,True,1.00,13,878.13,759.00,0.30
Belief Propagation,100302,37500,False,0.94,10,564.21,632.50,0.30
Belief Propagation,100302,41250,False,0.95,6,376.15,695.75,0.30
Belief Propagation,100302,43125,False,0.99,12,781.11,727.38,0.30
Belief Propagation,100302,44063,True,1.00,13,849.73,743.20,0.30
Belief Propagation,100302,43594,False,0.98,8,521.95,735.29,0.30
Belief Propagation,100303,30000,False,0.86,11,490.24,500.00,0.30
Belief Propagation,100303,45000,False,0.96,6,410.55,750.00,0.30
Belief Propagation,100303,52500,True,1.00,6,472.77,875.00,0.30
Belief Propagation,100303,48750,True,1.00,7,511.99,812.50,0.30
Belief Propagation,100303,46875,False,1.00,8,561.31,781.25,0.30
Belief Propagation,100303,47813,True,1.00,11,789.71,796.88,0.30
Belief Propagation,100303,47344,False,1.00,13,908.37,789.07,0.30
Belief Propagation,100304,30000,False,0.86,10,451.93,500.50,0.30
Belief Propagation,100304,45000,True,1.00,8,537.18,750.75,0.30
Belief Propagation,100304,37500,False,0.95,7,397.13,625.62,0.30
Belief Propagation,100304,41250,False,1.00,9,553.65,688.19,0.30
Belief Propagation,100304,43125,False,1.00,9,579.31,719.47,0.30
Belief Propagation,100304,44063,False,1.00,8,526.24,735.12,0.30
Belief Propagation,100304,44532,True,1.00,9,596.69,742.94,0.30
Belief Propagation,100304,44298,True,1.00,8,533.28,739.04,0.30
Belief Propagation,100304,44181,False,1.00,8,531.44,737.09,0.30
Belief Propagation,100400,40000,False,0.92,10,600.17,669.00,0.40
Belief Propagation,100400,60000,True,1.00,8,717.57,1003.50,0.40
Belief Propagation,100400,50000,False,0.99,10,746.11,836.25,0.40
Belief Propagation,100400,55000,True,1.00,6,496.97,919.88,0.40
Belief Propagation,100400,52500,True,1.00,10,779.75,878.06,0.40
Belief Propagation,100400,51250,False,0.99,7,539.04,857.16,0.40
Belief Propagation,100400,51875,False,0.95,4,315.36,867.61,0.40
Belief Propagation,100400,52188,True,1.00,10,770.79,872.84,0.40
Belief Propagation,100400,52032,False,0.98,6,461.18,870.24,0.40
Belief Propagation,100401,40000,False,0.91,5,306.89,664.50,0.40
Belief Propagation,100401,60000,True,1.00,6,539.84,996.75,0.40
Belief Propagation,100401,50000,False,0.97,5,379.14,830.62,0.40
Belief Propagation,100401,55000,False,1.00,10,816.46,913.69,0.40
Belief Propagation,100401,57500,True,1.00,8,687.77,955.22,0.40
Belief Propagation,100401,56250,False,0.99,6,507.56,934.45,0.40
Belief Propagation,100401,56875,False,1.00,8,679.22,944.84,0.40
Belief Propagation,100401,57188,False,1.00,6,514.55,950.04,0.40
Belief Propagation,100402,40000,False,0.95,9,539.00,668.50,0.40
Belief Propagation,100402,60000,True,1.00,6,538.43,1002.75,0.40
Belief Propagation,100402,50000,False,0.96,5,377.81,835.62,0.40
Belief Propagation,100402,55000,True,1.00,7,576.09,919.19,0.40
Belief Propagation,100402,52500,True,1.00,9,710.14,877.41,0.40
Belief Propagation,100402,51250,True,1.00,8,611.41,856.52,0.40
Belief Propagation,100402,50625,True,1.00,8,602.80,846.07,0.40
Belief Propagation,100402,50313,True,1.00,8,600.00,840.86,0.40
Belief Propagation,100402,50157,False,0.96,5,379.17,838.25,0.40
Belief Propagation,100403,40000,False,0.91,6,366.08,670.50,0.40
Belief Propagation,100403,60000,True,1.00,5,452.09,1005.75,0.40
Belief Propagation,100403,50000,False,0.97,5,380.15,838.12,0.40
Belief Propagation,100403,55000,True,1.00,8,656.62,921.94,0.40
Belief Propagation,100403,52500,True,1.00,7,550.84,880.03,0.40
Belief Propagation,100403,51250,False,0.99,8,611.43,859.08,0.40
Belief Propagation,100403,51875,False,0.96,5,391.14,869.55,0.40
Belief Propagation,100403,52188,True,1.00,9,696.41,874.80,0.40
Belief Propagation,100403,52032,False,1.00,9,699.47,872.19,0.40
Belief Propagation,100404,40000,False,0.93,9,542.15,663.00,0.40
Belief Propagation,100404,60000,True,1.00,6,539.43,994.50,0.40
Belief Propagation,100404,50000,False,0.97,6,450.05,828.75,0.40
Belief Propagation,100404,55000,False,1.00,10,812.89,911.62,0.40
Belief Propagation,100404,57500,True,1.00,6,514.01,953.06,0.40
Belief Propagation,100404,56250,True,1.00,6,503.62,932.34,0.40
Belief Propagation,100404,55625,False,0.95,4,339.66,921.98,0.40
Belief Propagation,100404,55938,True,1.00,6,504.81,927.17,0.40
Belief Propagation,100404,55782,True,1.00,6,500.50,924.59,0.40
Belief Propagation,100404,55704,True,1.00,7,580.52,923.29,0.40
Belief Propagation,100404,55665,True,1.00,6,500.10,922.65,0.40
