algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,confusion_matrix
Greedy Search,100002,25391,True,1.00,71,9.47,57668.62,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100002,24415,False,0.90,200,24.21,55451.91,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100002,24903,False,0.93,200,24.46,56560.27,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100002,25147,False,0.91,200,24.89,57114.44,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100002,25269,True,1.00,71,9.39,57391.53,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100002,25208,False,0.95,200,24.73,57252.99,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100002,25239,False,0.92,200,24.98,57323.40,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100002,25254,False,0.92,200,24.97,57357.47,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100002,25262,False,0.92,200,25.00,57375.64,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100002,25266,True,1.00,71,9.41,57384.72,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100002,25264,False,0.92,200,24.96,57380.18,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100002,25265,True,1.00,71,9.41,57382.45,../../data/gaussian_confusion_matrices/scale_0.00.csv
algorithm,seed,n_inequalities,recovered_key,fraction_of_solution_recovered,n_iterations,time_seconds_solve_inequalities,approx_number_of_ciphertexts,confusion_matrix
Greedy Search,100003,1000000,True,1.00,60,347.83,2269645.00,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,500000,True,1.00,60,166.02,1134822.50,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,250000,True,1.00,50,70.32,567411.25,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,125000,True,1.00,70,46.81,283705.62,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,62500,True,1.00,71,23.68,141852.81,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,31250,True,1.00,71,11.96,70926.41,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,15625,False,0.65,200,15.90,35463.20,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,23438,False,0.84,200,24.28,53195.94,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,27344,True,1.00,50,7.79,62061.17,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,25391,False,0.91,200,25.85,57628.56,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,26368,False,0.94,200,26.89,59846.00,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,26856,False,0.90,200,27.54,60953.59,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,27100,True,1.00,71,10.41,61507.38,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,26978,False,0.95,200,27.37,61230.48,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,27039,True,1.00,50,7.68,61368.93,../../data/gaussian_confusion_matrices/scale_0.00.csv
Greedy Search,100003,27009,False,0.91,200,27.63,61300.84,../../data/gaussian_confusion_matrices/scale_0.00.csv
